Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported direct emissions from Local Distribution Companies,Carbon emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,Does the facility employ continuous emissions monitoring? 
1011801,,Fountain Inn Natural Gas System,SC,Fountain Inn,SC,29644,100 S. Weston St,,34.69374364,-82.19857025,1153.7,1.7,1152,,N
1007021,110071161140,Humboldt Utilities,TN,Humboldt,TN,38346,207 South 13th Ave.,GIBSON COUNTY,36.029533,-88.808073,406.9,0.4,406.5,,N
1002297,110071159514,Huntsville Utilities,AL,Huntsville,AL,35804,112 Spragins Street,MADISON COUNTY,34.73,-86.59,8480.2,10.7,8469.5,,N
1001251,110071159599,ILLINOIS GAS COMPANY,IL,OLNEY,IL,62450,1927 MILLER DR,RICHLAND COUNTY,38.703671,-88.086588,1481.8,1.8,1480,,N
1004210,110071160246,Indiana Gas Company,IN,Evansville,IN,47708,2111 NW Riverside Dr.,VANDERBURGH COUNTY,37.973424,-87.575423,73890.25,89,73801.25,,N
1002220,110071161718,Intermountain Gas Company,ID,Boise,ID,83709,555 S. Cole Road,ADA COUNTY,43.59906,-116.27417,33217.2,69.2,33148,,N
1002151,110071161778,Interstate Power & Light Gas Distribution,IA,Cedar Rapids,IA,52401,200 1st Street SE,LINN COUNTY,41.97704,-91.66872,21323.2,25.7,21297.5,,N
1003992,110071161040,Jackson Energy Authority,TN,Jackson,TN,38301,119 East College Street,MADISON COUNTY,35.61589,-88.81837,3751.9,4.4,3747.5,,N
1001123,110071160813,Jasper Municipal Gas Utility,IN,Jasper,IN,47547,825 E. 2nd Ave,DUBOIS COUNTY,38.39,-86.93,691.8,0.8,691,,N
1002602,110071160501,KEYSPAN GAS EAST CORPORATION,NY,Hicksville,NY,11801,175 East Old Country Road,NASSAU COUNTY,40.766791,-73.510559,256331.26,10999.3,245326,5.96,N
1004107,110071160978,Kansas Gas Service,KS,Overland Park,KS,66213,7421 W. 129th St,JOHNSON COUNTY,38.89568,-94.67267,94739.85,114.1,94625.75,,N
1002701,110071159610,"LG&E and KU Energy, LLC",KY,Louisville,KY,40202,220 West Main,JEFFERSON COUNTY,38.25634,-85.75418,22118.1,26.6,22091.5,,N
1005481,110071159906,LIBERTY UTILITIES - MASSACHUSETTS,MA,FALL RIVER,MA,2722,P.O. Box 911,BRISTOL COUNTY,41.701398,-71.155837,22009.35,149.6,21859.75,,N
1007319,110071161433,"Memphis Light, Gas, and Water",TN,memphis,TN,38103,220 South Main Street,SHELBY COUNTY,35.139647,-90.055223,29581.35,31.6,29549.75,,N
1003155,110071160842,Metropolitan Utilities District of Omaha,NE,Omaha,NE,68102,1723 Harney Street,DOUGLAS COUNTY,41.25655,-95.93866,46031.9,55.4,45976.5,,N
1006374,110071162366,MidAmerican Energy Company Local Natural Gas Distribution Company - Illinois,IL,Des Moines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,7454,9,7445,,N
1006375,110071161808,MidAmerican Energy Company Local Natural Gas Distribution Company - Nebraska,NE,Des Moines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,891.6,1.1,890.5,,N
1006376,110071160179,MidAmerican Energy Company Local Natural Gas Distribution Company - South Dakota,SD,Des Moines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,8425.6,10.1,8415.5,,N
1002424,110071161351,MidAmerican Energy Local Gas Distribution Company,IA,DesMoines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,76964.496,989.9,75974,0.596,N
